2025-08-29 15:47:18 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:19 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:20 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:21 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:22 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:23 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:24 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:25 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:26 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:27 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:28 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:29 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:30 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:31 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:32 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:33 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:34 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:35 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:36 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:37 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:38 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:39 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:40 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:41 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:42 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:43 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:44 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:45 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:46 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:47 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:48 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:49 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:50 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:51 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:52 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:53 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:54 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:55 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:56 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:57 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:47:58 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:47:59 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:00 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:01 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:02 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:03 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:04 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:05 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:06 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:07 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:08 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:09 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:10 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:11 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:12 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:13 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:14 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:15 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:16 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:17 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:18 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:19 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:20 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:21 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:22 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:23 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:24 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:25 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:26 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:27 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:28 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:30 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:31 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:32 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:33 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:34 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:35 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:36 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:37 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:38 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:39 | T427IHMPARAM | ESTAGIO: 2
2025-08-29 15:48:40 | T415IHMPARAM | ESTAGIO: 0
2025-08-29 15:48:41 | T427IHMPARAM | ESTAGIO: 2
